id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1612529169904304128,1612316495698366465,1673291888000.0,2023-01-09 11:18:08,-0800,,"@agenetics1 i see, what kind of cv scores did you get for K = 5,6,7? when did the score start falling?",en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,11,https://twitter.com/arya_amsha/status/1612529169904304128,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'agenetics1', 'name': 'Ashish', 'id': '1455552687718625287'}]",,,,
1612528743440076800,1612316495698366465,1673291786000.0,2023-01-09 11:16:26,-0800,,@agenetics1 thanks. did you try using onge and no irula and setting it at K = 6?,en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,11,https://twitter.com/arya_amsha/status/1612528743440076800,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'agenetics1', 'name': 'Ashish', 'id': '1455552687718625287'}]",,,,
1612526934591959040,1612316495698366465,1673291355000.0,2023-01-09 11:09:15,-0800,,"@agenetics1 btw, what was K set as? 7 ?",en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,11,https://twitter.com/arya_amsha/status/1612526934591959040,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'agenetics1', 'name': 'Ashish', 'id': '1455552687718625287'}]",,,,
1612525709662248960,1612316495698366465,1673291063000.0,2023-01-09 11:04:23,-0800,,@agenetics1 any reason why you didn't use the default genotyping rate of all the samples? and why picked 0.5?,en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,11,https://twitter.com/arya_amsha/status/1612525709662248960,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'agenetics1', 'name': 'Ashish', 'id': '1455552687718625287'}]",,,,
1612523484076441603,1612316495698366465,1673290532000.0,2023-01-09 10:55:32,-0800,,@agenetics1 did you clean the files a bit by changing the --maf ? or just used standard plink files after extracting them?   How many total samples btw?,en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,10,https://twitter.com/arya_amsha/status/1612523484076441603,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'agenetics1', 'name': 'Ashish', 'id': '1455552687718625287'}]",,,,
1612498972903641088,1612487229548691457,1673284688000.0,2023-01-09 09:18:08,-0800,,"@Ugrashravas @shrikanth_krish Lmao, why would it? It’s literally occupied by 100s of different sovereign nations. You do realize India is one sovereign nation? Yeah, caste and ethnicities aren’t nations in the actual sense of the term.",en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,09,https://twitter.com/arya_amsha/status/1612498972903641088,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'Ugrashravas', 'name': '𑌉𑌗𑍍𑌰𑌶𑍍𑌰𑌵𑌾𑌃 𑌵𑌿𑌪𑍍𑌰𑌕𑍁𑌲𑌮𑌣𑌿𑌃', 'id': '1356568131754315776'}, {'screen_name': 'shrikanth_krish', 'name': 'श्रीकान्तः', 'id': '235470600'}]",,,,
1612431982016999424,1612394182475407361,1673268716000.0,2023-01-09 04:51:56,-0800,,@shrikanth_krish @dxrsam_0 In fact that language was so conservative even Shudras kept the pitch accent there. It more or less added up to the later situation where Gandhari Prakrit remained the most conservative of all the Prakrits ever.,en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,04,https://twitter.com/arya_amsha/status/1612431982016999424,[],[],0,,False,7,1,0,,None,,,,,,,"[{'screen_name': 'shrikanth_krish', 'name': 'श्रीकान्तः', 'id': '235470600'}, {'screen_name': 'dxrsam_0', 'name': 'Sameer 🐁', 'id': '3268587960'}]",,,,
1612429977986961410,1612400467216048129,1673268238000.0,2023-01-09 04:43:58,-0800,,"@Puer_Hispano No, soy indio y esa mujer también. El hilo no tiene nada que ver con el orientalismo occidental o el exotismo. Esa es tu propia interpretación.",es,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,04,https://twitter.com/arya_amsha/status/1612429977986961410,[],[],0,,False,25,1,0,,None,,,,,,,"[{'screen_name': 'Puer_Hispano', 'name': 'Jei el Hispanista 🇲🇽🤝🇪🇸🇷🇺🇦🇲🇷🇸🇪🇭🇨🇳', 'id': '1325322544988221443'}]",,,,
1612428905063026689,1611312844821389313,1673267983000.0,2023-01-09 04:39:43,-0800,,@GilgameshIndo @optimus83030798 @D_Lich_King @VarunKh90848217  https://t.co/P16PXj9gXg,qme,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,04,https://twitter.com/arya_amsha/status/1612428905063026689,[],['https://pbs.twimg.com/media/FmB_ieEaUAAVask.jpg'],1,https://pbs.twimg.com/media/FmB_ieEaUAAVask.jpg,False,1,1,0,,None,,,,,,,"[{'screen_name': 'GilgameshIndo', 'name': 'Indo-Gilgamesh', 'id': '1607331324351897600'}, {'screen_name': 'optimus83030798', 'name': 'Optimus prime', 'id': '1451745652002590726'}, {'screen_name': 'D_Lich_King', 'name': 'Pattipala', 'id': '1364850386658451461'}]",,,,
1612405473940242432,1611312844821389313,1673262396000.0,2023-01-09 03:06:36,-0800,,"@optimus83030798 @D_Lich_King @VarunKh90848217 “Vedic literature” was created in Punjab. It was Magadha which was seen as the land of aboriginal Asuras, which is why the Satapatha Brahamana makes fun of the speech of people who live there.",en,[],[],1065032890856210432,1065032890856210432,arya_amsha,Aryāṃśa,1,03,https://twitter.com/arya_amsha/status/1612405473940242432,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'optimus83030798', 'name': 'Optimus prime', 'id': '1451745652002590726'}, {'screen_name': 'D_Lich_King', 'name': 'Pattipala', 'id': '1364850386658451461'}, {'screen_name': 'VarunKh90848217', 'name': 'Varun Khatri', 'id': '1070813317646565376'}]",,,,
